video_id,title,description,published_at,channel_id,channel_title,category_id,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
fuV4yQWdn_4,squabble up,squabble up,2024-11-25T18:07:36Z,UC3lBXcrKFnFAFkfVk5WuKcQ,Kendrick Lamar,22,[],PT2M46S,hd,false,8355939,632244,0,0,40836
jt2KK2tqQyg,Stephen Nedoroscik’s Finale Freestyle – Dancing with the Stars,Stephen Nedoroscik’s Finale Freestyle – Dancing with the Stars,2024-11-27T07:00:21Z,UCLOIoa2aEGcM-z1hJx4vy4w,Dancing With The Stars,24,"['Disney+', 'Disney Plus', 'Disney', 'streaming', 'Dancing With The Stars', '#DWTS', 'Alfonso Ribeiro', 'Julianne Hough', 'ABC', 'ABC Network', 'Hulu', 'Derek Hough', 'Carrie Ann Inaba', 'Bruno Tonioli']",PT2M17S,hd,false,452432,9023,0,0,606
5x9aX1pG_3c,The Worst Pokémon Games (and why),The Worst Pokémon Games (and why),2024-11-27T13:15:01Z,UCSAYHSNaY5_UEol4_frPurg,MandJTV,20,"['New Pokemon games', 'New Pokemon', 'Top Pokemon', 'Pokemon Talk', 'MandJTV', 'MandJTV Pokevids', 'gaming', 'video games', 'nintendo switch', 'nintendo', 'pokemon', 'new games', 'family friendly', 'top 10', 'top 5', 'charizard', 'greninja', 'pikachu', 'best pokemon', 'all pokemon', 'original pokemon', 'retro games', 'retro pokemon games', 'nintendo pokemon', 'pokemon legends arceus', 'pokemon scarlet and violet', 'gen 9', 'pokemon legends z-a', 'legends z-a', 'bdsp', 'brilliant diamond', 'shining pearl']",PT32M56S,hd,false,375111,23814,0,0,4108
Ed1sGgHUo88,Squid Game: Season 2 | Official Trailer | Netflix,Squid Game: Season 2 | Official Trailer | Netflix,2024-11-26T23:00:03Z,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,24,"['2024', '456', 'Childhood Games', 'Choi Seung-hyun', 'Dec 26', 'Doll', 'Fandom', 'Front Man', 'Gi-hun', 'Global Phenomenon', 'Jo Yu-ri', 'KContent', 'Kang Ae-sim', 'Kang Ha-neul', 'Lee Byung-hun', 'Lee David', 'Lee Jin-uk', 'Lee Jung-jae', 'Netflix', 'News', 'Official Trailer', 'Park Sung-hoon', 'Pink Soldiers', 'Roh Jae-won', 'Season 2', 'Series', 'Squid Game', 'Squid Game 2', 'Teaser', 'Wi Ha-jun', 'Yang Dong-geun', 'Yim Si-wan', 'Young-hee']",PT1M47S,hd,false,4831530,155996,0,0,5318
PqDuAr2W2Dc,Kelly Clarkson's Son Remy Surprises Audience With Frank Sinatra Cover!,Kelly Clarkson's Son Remy Surprises Audience With Frank Sinatra Cover!,2024-11-27T10:00:31Z,UCmSQ47G2NHhcjRAm9Px6R3g,The Kelly Clarkson Show,22,"['Kelly Clarkson', 'the kelly clarkson show', 'nbc', 'talk show', 'american idol', 'the voice', 'nbc tv', 'interview', 'celebrities', 'celebrity interview', 'celebrity news', 'kellyoke', 'kelly clarkson', 'the kelly clarkson show interviews', 'kelly clarkson cover', 'kelly clarkson talk show', 'kelly clarkson show moments', 'kelly clarkson show collection', 'kelly clarkson falls', 'kelly clarkson album', 'kelly clarkson moments', 'kelly clarkson interviews', 'kelly clarkson and anne hathaway']",PT1M21S,hd,false,457442,5092,0,0,365
VcP_1Ua__vY,Kodak Black -  Versatile 4 [Official Video],Kodak Black -  Versatile 4 [Official Video],2024-11-27T16:59:16Z,UChEYVadfkMCfrKUi6qr3I1Q,Kodak Black,10,"['kodak', 'black', 'kodak black', 'atlantic records', 'roll in peace', 'codeine dreaming', 'tunnel vision', 'drowning', 'transportin', 'heart break kodak', 'project baby 2', 'Kodak Black Bill Israel', 'Bill Israel', 'Sniper', 'Sniper Gang', 'Hip Hop', 'Rap', 'Kodak Black I Knew It', 'Kodak Bill Israel', 'Kodak Black Easter in Miami', 'Easter', 'Easter in Miami', 'Kodak Easter', 'Kodak Black Haitian Boy Kodak', 'Haitian Boy Kodak', 'Kodak Black HBK', 'HBK', 'Kodak Black Happy Birthday Kodak', 'Happy Birthday Kodak']",PT4M43S,hd,false,223630,19794,0,0,2315
SO89EX1Os-8,Watching ONLY the FIRST and LAST Episode of *Gilmore Girls*,Watching ONLY the FIRST and LAST Episode of *Gilmore Girls*,2024-11-27T16:00:22Z,UCF_votze88WRDSEREe9s3aQ,Dylan Is In Trouble,24,[],PT40M45S,hd,false,358656,30588,0,0,2699
Vh0ZXRj_tkw,Upgrading NOOB to GOD Whitebeard in Blox fruits,Upgrading NOOB to GOD Whitebeard in Blox fruits,2024-11-27T16:19:33Z,UCQJudtC0Pn7_LlI0w0rXamw,WinterKloudz,20,"['blox fruits', 'roblox blox fruits', 'blox fruit', 'blox fruits noob to pro', 'blox fruits update', 'blox fruits codes', 'blox fruits roblox', 'blox fruits best fruit', 'blox fruits tier list', 'blox fruits race v4', 'blox fruits live', 'blox fruits race', 'noob to pro blox fruits', 'beating blox fruits as zoro', 'roblox blox fruit', 'starting over as zoro blox fruits', 'blox fruits quake awakening', 'blox fruits starting over as katakuri', 'blox fruits whitebeard', 'blox fruits update 17 part 3']",PT29M17S,hd,false,364597,9487,0,0,1056
jrC_69SRvU0,Kendrick Lamar - GNX ALBUM REVIEW,Kendrick Lamar - GNX ALBUM REVIEW,2024-11-26T16:56:30Z,UCt7fwAhXDy3oNFTAzF2o8Pw,theneedledrop,10,"['album', 'review', 'music', 'reviews', 'indie', 'new', 'lyrics', 'listen', 'track', 'concert', 'live', 'update', 'the needle drop', 'anthony fantano', 'vlog', 'talk', 'discussion', 'music nerd', 'song']",PT29M19S,hd,false,1339997,73986,0,0,6491
ncBH5aF2Ce8,"I saved $100,000 on my Dream BMW - E46 M3 Pt 1","I saved $100,000 on my Dream BMW - E46 M3 Pt 1",2024-11-27T16:00:42Z,UCxpbaAGBv4zrRJx_AjGdVLA,BigTime,2,"['Donut', 'Donut Media', 'DONUT', 'James Pumphrey', 'Zach Jobe', 'Jeremiah Burton', 'Speeed', 'cars', 'automotive', 'DIY', 'working on cars', 'RB', 'Big time', 'BIGTIME', 'Big', 'Time', 'Garage build', 'Garage', 'Money Pit', 'Money', 'Pit', 'Bigtime', 'Donutmedia', 'home garage', 'Car Builds', 'bmw', 'e46 me', 'bmw m3', 'bmw e46 m3 csl', 'm3 csl', 'bmw build', 'ecs tuning', 'ecs m3', 'turner m3', 'turner motorsports', 'm3 rod bearings', 'rod bearings', 'bmw maintenance', 'e46 mods', 'mods']",PT19M34S,hd,false,379847,29614,0,0,1894
e6zSlQHm-q0,Citadelle des Morts Cinematic | Call of Duty: Black Ops 6 Zombies,Citadelle des Morts Cinematic | Call of Duty: Black Ops 6 Zombies,2024-11-26T16:00:27Z,UC9YydG57epLqxA9cTzZXSeQ,Call of Duty,20,"['call of duty', 'cod', 'activision', 'Citadelle des Morts', 'black ops 6', 'cod black ops 6', 'call of duty black ops 6', 'zombies', 'black ops 6 zombies', 'black ops 6 zombies maps', 'Citadelle des Morts Cinematic']",PT1M55S,hd,false,685332,34188,0,0,2292
ytrtFsXRXGY,Watching a Rocket Launch at SpaceX with Elon Musk!,Watching a Rocket Launch at SpaceX with Elon Musk!,2024-11-26T18:03:29Z,UCytKJrAI_PsPfoi04D1E2oQ,Kai Trump,22,"['Watching a Rocket Launch at SpaceX with Elon Musk!', 'kai trump', 'donald trump', 'eric trump', 'donald trump jr', 'barron trump', 'trump', 'election day vlog', 'vlogs', 'kai trump vlogs', 'elon musk', 'Kai Trump Election Night Vlog', 'a regular day in the life of kai trump', 'day in the life', 'election night', '2024 election', 'presidential election', 'mara lago', 'spacex flight test 6', 'starship', 'spacex startship flight', 'rocket launch', 'elon musk and donald trump']",PT11M40S,hd,false,2697514,108232,0,0,7517
-5jIueKioAI,Family Island: 𝐖𝐢𝐥𝐝 𝐁𝐥𝐚𝐜𝐤 𝐅𝐫𝐢𝐝𝐚𝐲 𝐒𝐮𝐫𝐩𝐫𝐢𝐬𝐞𝐬! 🖤🖤🖤,Family Island: 𝐖𝐢𝐥𝐝 𝐁𝐥𝐚𝐜𝐤 𝐅𝐫𝐢𝐝𝐚𝐲 𝐒𝐮𝐫𝐩𝐫𝐢𝐬𝐞𝐬! 🖤🖤🖤,2024-11-27T15:00:00Z,UCxm8jnD1rYrT4271Qr3_44w,Family Island Game,20,"['family island game', 'family island gameplay', 'family island farm game', 'how to play family island', 'island game', 'family island', 'family island tips', 'farm games', 'island family', 'games for android', 'games for ios', 'mobile games', 'family island treasure island', 'islander', 'treasure island', 'gameplay walkthrough', 'new mobile games', 'game mobile', 'tips and tricks', 'funny game', 'adventure game', 'family game', 'walkthrough', 'Pink Bag']",PT17S,hd,false,98162,4097,0,0,2370
1v59Osj9usk,Can I Beat Grant Horvat If He Starts 5 Under Par? (Part 2),Can I Beat Grant Horvat If He Starts 5 Under Par? (Part 2),2024-11-26T16:59:37Z,UC3jFoA7_6BTV90hsRSVHoaw,Phil Mickelson and the HyFlyers,17,"['Masters', 'Phil Mickelson', 'LIV', 'LIV Golf']",PT54M33S,hd,false,564382,51446,0,0,6912
d7UtVAQ2bJA,"I Tested 100 ""Free Robux"" Games","I Tested 100 ""Free Robux"" Games",2024-11-27T03:55:31Z,UCn4RkjqDN4UE0Uy3y1-K6_w,Laughability,20,"['roblox laughability', 'roblox', 'laughability', 'laugh ability', 'laugh ability roblox', 'laughability youtube', 'roblox youtube', 'roblox challenge', 'laughability challenge', 'free robux', 'how to make robux', 'make robux on roblox', 'free robux games', 'free robux games 2024', 'challenge', '100 games', 'gaming', 'free robux glitch', 'robux glitch 2024', 'robux site', 'robux stream', 'donation games', 'robux methods']",PT32M33S,hd,false,341550,13233,0,0,2199
TwWk0dgo5A4,I turned FORTNITE into LEGO...,I turned FORTNITE into LEGO...,2024-11-26T17:48:56Z,UCUU3GdGuQshZFRGnxAPBf_w,TD BRICKS,24,"['lego', 'legos', 'lego set', 'lego fortnite', 'fortnite', 'fortnite lego', 'lego movie', 'lego city', 'lego minifigure', 'lego builder', 'lego meme']",PT8M31S,hd,false,944595,20606,0,0,2658
ne2IaBPxGUE,Kevin Gates - Be Somebody (Official Music Video),Kevin Gates - Be Somebody (Official Music Video),2024-11-26T08:00:40Z,UCj2GTFekdV3EUsTVN8oaEqA,kevingatesTV,10,"['kevin gates', 'kevin', 'gates', 'atlantic', 'atlantic records', 'how we livin', '2 phones', 'by any means 2', 'BWA', 'BreadWinnersAssociation', 'OfficialBWA', 'Kevin Gates Only The Generals Gon Understand II', 'Only The Generals Gon Understand II', 'Kevin Gates mixtape', 'Kevin Gates Only The Generals Gon Understand II mixtape', 'Only The Generals Gon Understand II mixtape', 'Only The Generals Gon Understand', 'Only The Generals Gone Understand', 'Kevin Gates Puerto Rico', 'Puerto Rico', 'Kevin Gates Puerto Rican']",PT3M4S,hd,false,546598,35089,0,0,2529
